구역,평형,전체세대수,조망각산정세대수,조망각미산정세대수,조망표본수,원본유닛타입,평균조망각,최소조망각,최대조망각,특A급_100도 이상_세대,A급_81~99도_세대,B급_61~80도_세대,C급_41~60도_세대,D급_21~40도_세대,E급_20도 이하_세대,특A급_100도 이상_pct,A급_81~99도_pct,B급_61~80도_pct,C급_41~60도_pct,D급_21~40도_pct,E급_20도 이하_pct
2구역,25,313,313,0,328,25,5.81,0,30.0,0,0,0,0,36,277,0.0,0.0,0.0,0.0,11.5,88.5
2구역,32,256,256,0,255,32,2.49,0,16.0,0,0,0,0,0,256,0.0,0.0,0.0,0.0,0.0,100.0
2구역,37,61,61,0,64,37,0.0,0,0,0,0,0,0,0,61,0.0,0.0,0.0,0.0,0.0,100.0
2구역,41,429,429,0,440,41,29.83,0,100.0,19,18,19,70,97,206,4.43,4.2,4.43,16.32,22.61,48.02
2구역,60,225,225,0,252,60,33.83,1.0,77.0,0,0,30,65,56,74,0.0,0.0,13.33,28.89,24.89,32.89
2구역,65,99,99,0,112,65,48.63,23.0,122.0,13,1,0,51,34,0,13.13,1.01,0.0,51.52,34.34,0.0
2구역,70,38,38,0,44,70,36.86,26.0,45.0,0,0,0,22,16,0,0.0,0.0,0.0,57.89,42.11,0.0
2구역,79,114,114,0,128,79,31.44,15.0,80.0,0,0,14,4,79,17,0.0,0.0,12.28,3.51,69.3,14.91
2구역,87,122,122,0,128,87,26.72,13.0,64.0,0,0,1,29,46,46,0.0,0.0,0.82,23.77,37.7,37.7
2구역,P88,4,0,4,0,,,,,0,0,0,0,0,0,,,,,,
2구역,45~46,389,389,0,814,"45,46",21.08,0,123.0,15,0,22,24,37,291,3.86,0.0,5.66,6.17,9.51,74.81
2구역,51~52,333,333,0,704,"51,52",24.95,0,84.0,0,5,23,37,123,145,0.0,1.5,6.91,11.11,36.94,43.54
2구역,55~56,156,156,0,338,"55,56",27.15,2.0,75.0,0,0,18,0,66,72,0.0,0.0,11.54,0.0,42.31,46.15
2구역,P95~97,26,0,26,0,,,,,0,0,0,0,0,0,,,,,,
2구역,P112~134,4,0,4,0,,,,,0,0,0,0,0,0,,,,,,
2구역,P174~175,2,0,2,0,,,,,0,0,0,0,0,0,,,,,,
3구역,27,998,998,0,1064,27,11.6,0,64.0,0,0,1,8,172,817,0.0,0.0,0.1,0.8,17.23,81.86
3구역,38,708,708,0,242,38,23.62,7.0,60.0,0,0,0,29,436,243,0.0,0.0,0.0,4.1,61.58,34.32
3구역,42,1457,1457,0,195,42,26.62,12.0,77.0,0,0,22,120,889,426,0.0,0.0,1.51,8.24,61.02,29.24
3구역,50,358,358,0,336,50,37.08,12.0,84.0,0,3,63,58,151,83,0.0,0.84,17.6,16.2,42.18,23.18
3구역,58,564,564,0,599,58,59.21,8.0,144.0,129,61,52,41,161,120,22.87,10.82,9.22,7.27,28.55,21.28
3구역,67,550,550,0,1108,67,32.34,0,138.0,35,3,28,96,152,236,6.36,0.55,5.09,17.45,27.64,42.91
3구역,71,80,80,0,1402,71,40.94,1.0,130.0,4,8,8,10,21,29,5.0,10.0,10.0,12.5,26.25,36.25
3구역,82,248,248,0,268,82,36.69,0,156.0,53,17,0,0,4,174,21.37,6.85,0.0,0.0,1.61,70.16
3구역,82P,37,0,37,0,,,,,0,0,0,0,0,0,,,,,,
3구역,91,80,80,0,126,91,83.13,40.0,112.0,28,12,16,12,12,0,35.0,15.0,20.0,15.0,15.0,0.0
3구역,91P,8,0,8,0,,,,,0,0,0,0,0,0,,,,,,
3구역,103,78,78,0,82,103,93.76,54.0,142.0,36,0,24,18,0,0,46.15,0.0,30.77,23.08,0.0,0.0
3구역,103P,5,0,5,0,,,,,0,0,0,0,0,0,,,,,,
3구역,110P,2,0,2,0,,,,,0,0,0,0,0,0,,,,,,
3구역,183P,2,0,2,0,,,,,0,0,0,0,0,0,,,,,,
4구역,25,248,248,0,258,25,17.37,0,68.0,0,0,2,19,58,169,0.0,0.0,0.81,7.66,23.39,68.15
4구역,34,73,73,0,64,34,2.75,1.0,6.0,0,0,0,0,0,73,0.0,0.0,0.0,0.0,0.0,100.0
4구역,40,406,406,0,467,40,18.01,0,104.0,17,0,0,19,115,255,4.19,0.0,0.0,4.68,28.33,62.81
4구역,43,186,186,0,181,43,27.73,2.0,79.0,0,0,18,35,28,105,0.0,0.0,9.68,18.82,15.05,56.45
4구역,47,153,153,0,278,47A / 47B,39.47,0,109.0,20,0,19,28,15,71,13.07,0.0,12.42,18.3,9.8,46.41
4구역,49,49,0,49,0,,,,,0,0,0,0,0,0,,,,,,
4구역,52,62,62,0,32,52,14.38,11.0,20.0,0,0,0,0,0,62,0.0,0.0,0.0,0.0,0.0,100.0
4구역,60,110,110,0,145,60,44.33,5.0,105.0,16,20,2,14,0,58,14.55,18.18,1.82,12.73,0.0,52.73
4구역,63,120,120,0,64,63,3.63,1.0,9.0,0,0,0,0,0,120,0.0,0.0,0.0,0.0,0.0,100.0
4구역,67,95,95,0,143,67,33.48,5.0,95.0,0,17,0,5,30,43,0.0,17.89,0.0,5.26,31.58,45.26
4구역,68,12,0,12,0,,,,,0,0,0,0,0,0,,,,,,
4구역,70,10,0,10,0,,,,,0,0,0,0,0,0,,,,,,
4구역,72,58,58,0,32,72,9.0,9.0,9.0,0,0,0,0,0,58,0.0,0.0,0.0,0.0,0.0,100.0
4구역,74,28,0,28,0,,,,,0,0,0,0,0,0,,,,,,
4구역,77,43,43,0,32,77,18.38,18.0,19.0,0,0,0,0,0,43,0.0,0.0,0.0,0.0,0.0,100.0
4구역,P94,4,0,4,0,,,,,0,0,0,0,0,0,,,,,,
4구역,P110,4,0,4,0,,,,,0,0,0,0,0,0,,,,,,
4구역,P172,1,0,1,0,,,,,0,0,0,0,0,0,,,,,,
5구역,25,311,311,0,341,25,13.97,0,110.0,16,0,0,0,47,248,5.14,0.0,0.0,0.0,15.11,79.74
5구역,31,328,328,0,357,31,21.22,2.0,99.0,0,18,0,27,63,220,0.0,5.49,0.0,8.23,19.21,67.07
5구역,35,269,269,0,295,35,34.39,5.0,126.0,17,18,42,0,27,165,6.32,6.69,15.61,0.0,10.04,61.34
5구역,41,194,194,0,191,41,30.77,0,71.0,0,0,46,12,52,84,0.0,0.0,23.71,6.19,26.8,43.3
5구역,51,132,132,0,166,51,9.46,0,31.0,0,0,0,0,24,108,0.0,0.0,0.0,0.0,18.18,81.82
5구역,61,140,140,0,155,61,54.72,13.0,103.0,3,31,27,1,60,18,2.14,22.14,19.29,0.71,42.86,12.86
5구역,71,16,16,0,19,71,108.11,108.0,110.0,16,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0
5구역,78,5,0,5,0,,,,,0,0,0,0,0,0,,,,,,
5구역,116,2,0,2,0,,,,,0,0,0,0,0,0,,,,,,
